seed,model_type,final_loss,best_loss,final_token_acc,best_token_acc,elapsed_ms,cross_attn_mean,dict_gate,experiment,n_samples,noise_prob
0,standard_seq2seq,13.846391677856445,13.846391677856445,0.07855626195669174,0.08067940920591354,196.48336000136624,0.1250000149011612,,baseline,,
1,standard_seq2seq,13.379096031188965,13.379096031188965,0.014830508269369602,0.04237288236618042,181.0816060005891,0.125,,baseline,,
2,standard_seq2seq,11.572369575500488,11.572369575500488,0.0258620698004961,0.0258620698004961,171.5042989999347,0.125,,baseline,,
3,standard_seq2seq,11.834592819213867,11.834592819213867,0.08350730687379837,0.0897703543305397,190.12887699864223,0.125,,baseline,,
4,standard_seq2seq,13.199258804321289,13.199258804321289,0.06437768042087555,0.06437768042087555,186.06924300001992,0.125,,baseline,,
0,analysis_synthesis_conv,9.094496726989746,9.094496726989746,0.09129511564970016,0.09129511564970016,474.45902199979173,0.1249999925494194,0.009018235839903355,baseline,,
1,analysis_synthesis_conv,9.297718048095703,9.297718048095703,0.08262711763381958,0.09110169857740402,448.79631100047845,0.125,0.009067810140550137,baseline,,
2,analysis_synthesis_conv,8.96438980102539,8.96438980102539,0.10991379618644714,0.10991379618644714,434.3850770001154,0.125,0.009014095179736614,baseline,,
3,analysis_synthesis_conv,10.110411643981934,10.110411643981934,0.14822547137737274,0.14822547137737274,453.65808899987314,0.1249999925494194,0.008929151110351086,baseline,,
4,analysis_synthesis_conv,10.386741638183594,10.386741638183594,0.06008583679795265,0.07510729879140854,407.67813899947214,0.125,-0.008728062734007835,baseline,,
0,standard_seq2seq,13.455632209777832,13.455632209777832,0.07500000298023224,0.07500000298023224,128.97851900015667,0.1249999925494194,,low_data,16,
1,standard_seq2seq,12.093280792236328,12.093280792236328,0.017094017937779427,0.05128205195069313,120.11992599946097,0.125,,low_data,16,
2,standard_seq2seq,11.811711311340332,11.811711311340332,0.03539822995662689,0.03539822995662689,112.00410600031319,0.125,,low_data,16,
3,standard_seq2seq,10.852499961853027,10.852499961853027,0.08264462649822235,0.09090909361839294,108.78260299978137,0.1249999850988388,,low_data,16,
4,standard_seq2seq,13.204872131347656,13.204872131347656,0.10169491171836853,0.10169491171836853,116.99711599976581,0.125,,low_data,16,
0,analysis_synthesis_conv,8.49215030670166,8.49215030670166,0.10833333432674408,0.10833333432674408,350.28332700130704,0.1249999925494194,0.008994882926344872,low_data,16,
1,analysis_synthesis_conv,8.803028106689453,8.803028106689453,0.05128205195069313,0.12820513546466827,306.70201199973235,0.125,0.008380777202546597,low_data,16,
2,analysis_synthesis_conv,8.573196411132812,8.573196411132812,0.08849557489156723,0.08849557489156723,366.6765279995161,0.1249999925494194,0.006772427819669247,low_data,16,
3,analysis_synthesis_conv,9.503808975219727,9.503808975219727,0.11570248007774353,0.11570248007774353,311.15907999992487,0.125,0.008825646713376045,low_data,16,
4,analysis_synthesis_conv,10.099534034729004,10.099534034729004,0.04237288236618042,0.08474576473236084,301.51802799991856,0.125,-0.008877039887011051,low_data,16,
0,standard_seq2seq,13.30543041229248,13.30543041229248,0.08154506236314774,0.08154506236314774,138.59808400047768,0.125,,low_data,32,
1,standard_seq2seq,12.609071731567383,12.609071731567383,0.029411764815449715,0.05042016878724098,134.02264600154012,0.125,,low_data,32,
2,standard_seq2seq,11.651334762573242,11.651334762573242,0.03017241321504116,0.03017241321504116,140.1353419987572,0.1249999925494194,,low_data,32,
3,standard_seq2seq,11.057090759277344,11.057090759277344,0.07818929851055145,0.09053497761487961,146.16024299903074,0.125,,low_data,32,
4,standard_seq2seq,13.164888381958008,13.164888381958008,0.09565217047929764,0.09565217047929764,138.88387699989835,0.125,,low_data,32,
0,analysis_synthesis_conv,8.787256240844727,8.787256240844727,0.07725322246551514,0.09442060440778732,401.2134530003095,0.125,0.009085437282919884,low_data,32,
1,analysis_synthesis_conv,8.983155250549316,8.983155250549316,0.09243697673082352,0.09663865715265274,358.787047000078,0.1249999925494194,0.008971658535301685,low_data,32,
2,analysis_synthesis_conv,9.505851745605469,9.505851745605469,0.09482758492231369,0.09482758492231369,371.01385300047696,0.1249999925494194,0.008893116377294064,low_data,32,
3,analysis_synthesis_conv,9.585503578186035,9.585503578186035,0.13991770148277283,0.13991770148277283,360.855401999288,0.125,0.008908235467970371,low_data,32,
4,analysis_synthesis_conv,9.977931022644043,9.977931022644043,0.06956521421670914,0.08260869234800339,360.957184999279,0.125,-0.008330139331519604,low_data,32,
0,standard_seq2seq,13.846391677856445,13.846391677856445,0.07855626195669174,0.08067940920591354,178.27534200114314,0.1250000149011612,,low_data,64,
1,standard_seq2seq,13.379096031188965,13.379096031188965,0.014830508269369602,0.04237288236618042,192.37286300085543,0.125,,low_data,64,
2,standard_seq2seq,11.572369575500488,11.572369575500488,0.0258620698004961,0.0258620698004961,159.99688999909267,0.125,,low_data,64,
3,standard_seq2seq,11.834592819213867,11.834592819213867,0.08350730687379837,0.0897703543305397,178.3951920006075,0.125,,low_data,64,
4,standard_seq2seq,13.199258804321289,13.199258804321289,0.06437768042087555,0.06437768042087555,192.34994999897026,0.125,,low_data,64,
0,analysis_synthesis_conv,9.094496726989746,9.094496726989746,0.09129511564970016,0.09129511564970016,484.471236999525,0.1249999925494194,0.009018235839903355,low_data,64,
1,analysis_synthesis_conv,9.297718048095703,9.297718048095703,0.08262711763381958,0.09110169857740402,495.01001200042083,0.125,0.009067810140550137,low_data,64,
2,analysis_synthesis_conv,8.96438980102539,8.96438980102539,0.10991379618644714,0.10991379618644714,505.82531500003824,0.125,0.009014095179736614,low_data,64,
3,analysis_synthesis_conv,10.110411643981934,10.110411643981934,0.14822547137737274,0.14822547137737274,473.687493999023,0.1249999925494194,0.008929151110351086,low_data,64,
4,analysis_synthesis_conv,10.386741638183594,10.386741638183594,0.06008583679795265,0.07510729879140854,483.26010200071323,0.125,-0.008728062734007835,low_data,64,
0,standard_seq2seq,13.893075942993164,13.893075942993164,0.07577374577522278,0.07577374577522278,277.1598279996397,0.125,,low_data,128,
1,standard_seq2seq,13.827011108398438,13.827011108398438,0.024390242993831635,0.046659596264362335,290.3463729999203,0.1249999925494194,,low_data,128,
2,standard_seq2seq,11.520313262939453,11.520313262939453,0.024625267833471298,0.024625267833471298,241.3397829986934,0.125,,low_data,128,
3,standard_seq2seq,11.938773155212402,11.938773155212402,0.07974816113710403,0.09024134278297424,279.272800000399,0.125,,low_data,128,
4,standard_seq2seq,13.389150619506836,13.389150619506836,0.08574490994215012,0.08574490994215012,297.2824729986314,0.125,,low_data,128,
0,analysis_synthesis_conv,9.064396858215332,9.064396858215332,0.0896478146314621,0.0896478146314621,787.93488699921,0.125,0.008947075344622135,low_data,128,
1,analysis_synthesis_conv,9.4842529296875,9.4842529296875,0.08695652335882187,0.0986214205622673,752.1778929985885,0.125,0.009045170620083809,low_data,128,
2,analysis_synthesis_conv,8.981621742248535,8.981621742248535,0.10278372466564178,0.10278372466564178,722.7732480005216,0.125,0.008888204582035542,low_data,128,
3,analysis_synthesis_conv,10.093934059143066,10.093934059143066,0.14585518836975098,0.14585518836975098,729.4696139997541,0.125,0.009036583825945854,low_data,128,
4,analysis_synthesis_conv,10.298580169677734,10.298580169677734,0.08574490994215012,0.08574490994215012,872.2331330009183,0.125,-0.008854550309479237,low_data,128,
0,standard_seq2seq,13.846391677856445,13.846391677856445,0.07855626195669174,0.08067940920591354,203.25889800005825,0.1250000149011612,,corruption,,0.0
1,standard_seq2seq,13.379096031188965,13.379096031188965,0.014830508269369602,0.04237288236618042,181.66857500000333,0.125,,corruption,,0.0
2,standard_seq2seq,11.572369575500488,11.572369575500488,0.0258620698004961,0.0258620698004961,182.5293169986253,0.125,,corruption,,0.0
3,standard_seq2seq,11.834592819213867,11.834592819213867,0.08350730687379837,0.0897703543305397,173.68102000000363,0.125,,corruption,,0.0
4,standard_seq2seq,13.199258804321289,13.199258804321289,0.06437768042087555,0.06437768042087555,178.37746800069,0.125,,corruption,,0.0
0,analysis_synthesis_conv,9.094496726989746,9.094496726989746,0.09129511564970016,0.09129511564970016,488.86645900165604,0.1249999925494194,0.009018235839903355,corruption,,0.0
1,analysis_synthesis_conv,9.297718048095703,9.297718048095703,0.08262711763381958,0.09110169857740402,516.8879559987545,0.125,0.009067810140550137,corruption,,0.0
2,analysis_synthesis_conv,8.96438980102539,8.96438980102539,0.10991379618644714,0.10991379618644714,475.0178070007678,0.125,0.009014095179736614,corruption,,0.0
3,analysis_synthesis_conv,10.110411643981934,10.110411643981934,0.14822547137737274,0.14822547137737274,440.78343599903747,0.1249999925494194,0.008929151110351086,corruption,,0.0
4,analysis_synthesis_conv,10.386741638183594,10.386741638183594,0.06008583679795265,0.07510729879140854,436.4812769999844,0.125,-0.008728062734007835,corruption,,0.0
0,standard_seq2seq,13.717208862304688,13.717208862304688,0.08154506236314774,0.08369098603725433,168.80894399946555,0.125,,corruption,,0.1
1,standard_seq2seq,14.12059211730957,14.12059211730957,0.025531914085149765,0.05319149047136307,168.118603000039,0.1249999925494194,,corruption,,0.1
2,standard_seq2seq,11.4610595703125,11.4610595703125,0.03991596773266792,0.03991596773266792,167.5177449997136,0.1249999925494194,,corruption,,0.1
3,standard_seq2seq,11.61765193939209,11.61765193939209,0.08210526406764984,0.09263157844543457,173.57993900077417,0.125,,corruption,,0.1
