variant,seed,n_samples,corruption,final_loss,best_token_accuracy,elapsed_ms,experiment
standard_seq2seq,0,64,0.1,11.420499801635742,0.03281249850988388,136.31848200020613,corruption
standard_seq2seq,1,64,0.1,11.311209678649902,0.03125,157.8257710007165,corruption
standard_seq2seq,2,64,0.1,12.15056037902832,0.0234375,139.74945800146088,corruption
standard_seq2seq,3,64,0.1,9.902128219604492,0.03593749925494194,130.97887799995078,corruption
standard_seq2seq,4,64,0.1,9.355429649353027,0.02968749962747097,131.6990720006288,corruption
analysis_synthesis_conv,0,64,0.1,8.135483741760254,0.02968749962747097,385.94442199973855,corruption
analysis_synthesis_conv,1,64,0.1,8.802486419677734,0.02968749962747097,412.8171640004439,corruption
analysis_synthesis_conv,2,64,0.1,8.852245330810547,0.02500000037252903,402.2887980008818,corruption
analysis_synthesis_conv,3,64,0.1,8.382871627807617,0.02500000037252903,351.0036019997642,corruption
analysis_synthesis_conv,4,64,0.1,7.230477333068848,0.02812499925494194,423.49144100080593,corruption
standard_seq2seq,0,64,0.2,11.45240306854248,0.03593749925494194,136.3097960002051,corruption
standard_seq2seq,1,64,0.2,11.339655876159668,0.03125,136.56480199824728,corruption
standard_seq2seq,2,64,0.2,12.074115753173828,0.02031249925494194,135.9422949990403,corruption
standard_seq2seq,3,64,0.2,9.871039390563965,0.03125,139.1102449997561,corruption
standard_seq2seq,4,64,0.2,9.282814979553223,0.02968749962747097,161.1208260001149,corruption
analysis_synthesis_conv,0,64,0.2,8.216830253601074,0.02656250074505806,371.1469809986738,corruption
analysis_synthesis_conv,1,64,0.2,8.71812915802002,0.0234375,350.039218999882,corruption
analysis_synthesis_conv,2,64,0.2,8.829080581665039,0.02968749962747097,405.99967899834155,corruption
analysis_synthesis_conv,3,64,0.2,8.514444351196289,0.02500000037252903,344.9407930002053,corruption
analysis_synthesis_conv,4,64,0.2,7.250521659851074,0.02812499925494194,336.41275899935863,corruption
standard_seq2seq,0,64,0.3,11.128652572631836,0.02812499925494194,162.15780099992116,corruption
standard_seq2seq,1,64,0.3,11.211529731750488,0.03125,142.17728000039642,corruption
standard_seq2seq,2,64,0.3,12.170708656311035,0.01718750037252903,134.53206699887232,corruption
standard_seq2seq,3,64,0.3,9.780710220336914,0.02656250074505806,134.64848400144547,corruption
standard_seq2seq,4,64,0.3,9.104665756225586,0.03437500074505806,130.0506650004536,corruption
analysis_synthesis_conv,0,64,0.3,8.225759506225586,0.02968749962747097,350.4805699994904,corruption
analysis_synthesis_conv,1,64,0.3,8.598922729492188,0.01875000074505806,345.4111439987173,corruption
analysis_synthesis_conv,2,64,0.3,8.930837631225586,0.02500000037252903,417.2211539989803,corruption
analysis_synthesis_conv,3,64,0.3,8.472515106201172,0.02812499925494194,351.97782999966876,corruption
analysis_synthesis_conv,4,64,0.3,7.197630405426025,0.02812499925494194,365.54105799950776,corruption
